seed,year,genre,family,emergenceYear,deathYear,singleOrientation,authoredBaseline,supply,retainedSupply,transitionSupply,floorSupply,unavailableIdentityTransitions,annualFloorRequested,annualFloorReroutes,albumCapacityReroutes,decisions,singleDecisions,albumDecisions,decisionSingleSharePct,orphanDecisions,standaloneDecisions,promoDecisions,fulfilledUnits,marketSharePct,backorders,backorderRatePct,unitsPerSupply,settlementSingleUnits,settlementAlbumUnits,settlementSingleSharePct,meanAcceptance,meanEligible,meanCharted,meanRadio
2007,1966,EasyListening,Pop,1950,,0.35,0.6,106,33,70,3,0,0,0,0,104,8,96,7.6923076923076925,8,58,38,3632390,2.508032835490483,1004896,21.669916412315306,34267.83018867925,2509794,1125089,69.0474493952075,0.7369841428571432,234.82692307692307,7.384615384615385,1.4603825137362638
2007,1966,Folk,Folk,1958,1966,0.5,0.45,60,42,15,3,0,0,0,0,60,8,52,13.333333333333334,8,16,36,4659696,3.217350166530483,1427927,23.456232424379763,77661.6,2762064,1901517,59.22624695486151,0.5192874697802198,312.25,18.326923076923077,1.5965538159340693
2007,1966,FolkRock,Folk,1965,,0.55,0.75,68,21,44,3,0,0,0,0,68,61,7,89.70588235294117,61,2,5,4093695,2.826547115943831,1155686,22.01566241810225,60201.39705882353,4095215,0,100,0.896939722527473,25.923076923076923,3.6923076923076925,2.215088986263736
2007,1966,Funk,RhythmAndSoul,1967,,0.7,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29984673076923063,0,0,0
2007,1966,GarageRock,Rock,1963,1968,0.85,0.65,96,35,58,3,0,0,0,0,96,12,84,12.5,12,40,44,2503719,1.7287266683482216,1028309,29.11384054713043,26080.40625,2390327,116334,95.35900546583683,0.7600964285714278,101.42307692307692,2.173076923076923,1.9845753021978012
2007,1966,Gospel,Gospel,1950,,0.5,0.4,193,138,52,3,0,0,0,0,193,18,175,9.32642487046632,18,57,118,5021739,3.467327655693123,2331186,31.704199349238568,26019.37305699482,4402374,625930,87.5518663947128,0.5494707142857139,382.36538461538464,3.8846153846153846,3.6353099615384643
2007,1966,HardRock,Rock,1967,,0.4,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2258222774725275,0,0,0
2007,1966,Jazz,Jazz,1945,,0.3,0.4,145,105,37,3,0,0,0,0,145,14,131,9.655172413793103,14,66,65,8959066,6.185908369785838,2805875,23.84946086852454,61786.66206896552,5068400,3895722,56.54095292321992,0.5200000000000025,458.4807692307692,50.5,2.6246650082417595
2007,1966,LatinPop,Latin,1958,,0.6,0.35,36,14,19,3,0,0,0,0,35,3,32,8.571428571428571,3,10,22,1692914,1.168895382836517,280400,14.209598675122155,47025.38888888889,1609615,83986,95.04098072686541,0.4519385549450555,44.98076923076923,1.5576923076923077,0.5632269560439561
2007,1966,ProgressiveRock,Rock,1968,,0.25,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07527403296703286,0,0,0
2007,1966,ProtoMetal,Rock,1968,,0.4,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07527403296703286,0,0,0
2007,1966,ProtoPunk,Rock,1967,,0.4,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10054813736263732,0,0,0
2007,1966,PsychedelicRock,Rock,1966,1971,0.45,0.5,15,7,5,3,0,0,0,0,15,2,13,13.333333333333334,2,3,10,321076,0.22169126957401114,159863,33.23976637369812,21405.066666666666,311885,9499,97.04434570482663,0.7591064697802201,9.865384615384615,0.36538461538461536,0.2157110247252746
2007,1966,Reggae,Caribbean,1968,,0.8,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040109626373626375,0,0,0
2007,1966,RnB,RhythmAndSoul,1949,1965,0.8,0.45,30,30,0,0,0,0,0,0,30,8,22,26.666666666666668,8,3,19,1601493,1.1057725161142278,600655,27.275868833520725,53383.1,1315147,289097,81.97923757233937,0.5069372912087917,137.78846153846155,0.9807692307692307,0.9819648049450549
2007,1966,RockAndRoll,Rock,1955,,0.85,0.4,255,198,54,3,0,0,0,0,253,72,181,28.458498023715414,72,22,159,14505702,10.015658262972856,3002536,17.149275672400616,56885.10588235294,13316443,1198399,91.74363041636967,0.4871437609890119,345.21153846153845,21.5,5.904536063186814
2007,1966,Rocksteady,Caribbean,1966,1968,0.8,0.08,14,1,10,3,0,0,0,0,14,0,14,0,0,2,12,245977,0.16983814865018418,48419,16.446894658894823,17569.785714285714,223534,22755,90.76085411853555,0.10962766208791216,11.461538461538462,0.17307692307692307,0.20209522527472518
2007,1966,SingerSongwriter,Folk,1967,,0.35,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25054830769230874,0,0,0
2007,1966,Ska,Caribbean,1964,1967,0.8,0.1,31,17,11,3,0,0,0,0,31,3,28,9.67741935483871,3,8,20,163294,0.11274855228612096,28935,15.052359425476904,5267.548387096775,127558,36300,77.84667211854166,0.11083445329670336,30.365384615384617,0,0.2918595384615385
2007,1966,Soul,RhythmAndSoul,1960,,0.7,0.85,524,373,148,3,0,0,0,0,519,45,474,8.670520231213873,45,346,128,7493204,5.173784113222597,3485515,31.747920681820894,14300.007633587786,6891531,612796,91.834097847815,0.9513826263736264,577.6153846153846,4.269230769230769,6.903977813186816
2007,1966,SunshinePop,Pop,1965,1971,0.55,0.55,80,16,61,3,0,0,0,0,79,73,6,92.40506329113924,73,0,6,8423734,5.816281145316882,1180495,12.291408295241606,105296.675,8425746,0,100,0.8046302142857141,30.653846153846153,6.461538461538462,2.577552925824175
2007,1966,SurfRock,Rock,1961,1966,0.8,0.4,35,16,16,3,0,0,0,0,35,34,1,97.14285714285714,34,0,1,1988175,1.3727623362858314,730931,26.881298485605196,56805,1988725,1847,99.90721260019733,0.4536598461538458,31.576923076923077,1.9230769230769231,1.1384249642857143
